Creditworthy,Acc1,Acc2,Duration,Amount,IntUse
0,0,0,15,0.6687698,1
0,0,0,21,1.20307,0
0,0,1,12,0.3665963,1
0,0,1,9,0.6713262,1
0,0,1,6,1.522627,1
0,0,0,6,0.740862,0
0,0,0,48,6.239806,0
0,0,1,18,0.8017057,0
0,0,1,36,1.807417,0
0,0,0,45,2.339672,1
0,0,0,9,0.616618,1
0,0,1,9,1.571711,1
0,0,1,30,2.184239,0
0,0,1,15,0.7459748,1
0,0,1,24,0.8165331,1
0,0,0,13,1.074224,1
0,0,1,15,0.7556894,1
0,0,1,6,0.1850877,0
0,1,0,18,1.359525,1
0,0,1,18,0.7694943,1
0,1,0,18,1.221476,1
0,0,0,6,0.3850028,1
0,0,1,24,0.7751185,1
0,0,0,24,3.966602,1
0,0,0,12,3.107632,0
0,0,0,15,1.189265,0
0,1,0,6,1.000598,1
0,0,1,15,2.722118,0
0,1,0,8,0.3645511,0
0,0,0,18,1.002643,0
0,0,1,6,0.3435881,0
0,0,0,20,3.608187,1
0,0,0,15,0.2004264,1
0,1,0,12,0.1968474,1
0,0,1,6,0.2648492,1
0,0,1,24,1.372307,1
0,0,1,21,0.8134654,1
0,0,0,18,1.835538,0
0,0,1,6,0.7889234,1
0,1,0,15,0.8799333,0
0,0,1,42,3.663918,1
0,0,1,18,1.361059,0
0,0,1,24,0.6580326,0
0,1,0,24,1.445933,1
0,0,1,24,0.9852595,1
0,0,1,12,0.4755014,1
0,0,0,27,1.292546,0
0,0,1,18,0.7531329,1
0,1,0,12,0.3333623,1
0,0,1,21,2.68326,1
0,0,1,21,1.169836,1
0,0,0,6,0.2474653,1
0,0,1,28,1.402474,1
0,0,0,12,0.2991057,1
0,0,0,36,2.990035,1
0,0,0,30,1.869283,1
0,0,0,30,1.787476,1
0,0,1,12,0.4990209,1
0,0,1,10,0.6294003,0
0,0,1,24,1.46843,1
0,0,0,24,0.9842368,1
0,0,1,24,0.5107806,1
0,0,1,12,0.6058809,0
0,0,1,12,1.703113,1
0,0,1,9,0.4785692,1
0,0,1,10,1.057863,1
0,0,1,24,3.228297,0
0,0,1,36,1.224033,1
0,0,1,4,0.7684717,1
0,0,1,27,2.653605,1
0,0,1,12,0.7122296,1
0,0,1,6,0.6841086,1
0,0,1,12,0.5629323,0
0,0,0,12,0.6738827,0
0,0,0,24,1.569155,1
0,1,0,36,1.200513,1
0,0,1,36,1.838094,1
0,0,1,12,0.55015,0
0,0,0,24,3.562171,0
0,0,0,12,0.7280797,1
0,0,0,18,1.240905,0
0,0,0,18,1.340607,0
0,0,1,12,0.6432052,1
0,0,1,12,0.646273,0
0,0,1,14,0.4100561,0
0,1,0,10,1.183641,1
0,0,1,54,4.82455,1
0,0,0,12,0.5583307,1
0,0,0,12,0.756712,0
0,0,1,15,0.6728601,1
0,0,1,15,1.384578,1
0,0,0,9,0.4039206,1
0,0,0,6,0.5460597,1
0,0,0,18,1.658631,1
0,0,1,60,5.300052,0
0,0,1,24,0.4749902,1
0,1,0,12,1.132,1
0,0,1,15,0.9351528,1
0,0,1,18,0.5757147,1
0,1,0,6,0.3113768,0
0,1,0,21,1.84014,1
0,0,0,36,2.040055,1
0,1,0,12,0.6135503,1
0,0,1,6,0.970432,1
0,0,1,10,0.6974021,0
0,0,0,8,0.4637417,0
0,0,0,24,1.192844,1
0,1,0,24,0.6294003,1
0,0,0,12,0.8011944,1
0,1,0,12,0.5660001,1
0,0,1,24,0.793525,1
0,1,0,15,1.283854,0
0,0,1,12,0.8047734,1
0,0,0,48,6.221911,0
0,0,0,21,2.032897,1
0,1,0,9,1.092119,1
0,0,1,12,1.028719,1
0,0,0,24,1.849343,1
0,0,0,7,1.23477,1
0,0,1,12,0.8461881,1
0,0,1,18,0.8088638,1
0,0,1,10,0.3717092,1
0,0,1,9,1.281809,0
0,0,1,10,0.4570949,1
0,1,0,30,1.289478,1
0,0,0,10,0.399319,0
0,0,0,36,1.897404,1
0,0,1,12,0.7684717,1
0,0,0,10,0.6518971,1
0,0,0,15,0.774096,1
0,0,1,24,1.052239,1
0,0,1,12,0.7219441,0
0,0,1,12,0.7633588,1
0,1,0,12,0.7802314,1
0,0,1,6,0.8155106,1
0,0,1,15,2.381086,1
0,0,0,9,1.633578,0
0,1,0,24,1.495018,1
0,0,1,12,0.7884121,0
0,0,0,12,0.3855141,1
0,0,1,7,0.4325529,1
0,1,0,12,1.08445,0
0,0,0,4,0.7638701,0
0,0,0,24,1.004689,0
0,0,0,48,1.823267,0
0,0,1,4,0.3072864,1
0,0,1,24,3.498259,1
0,0,1,24,1.654029,1
0,0,1,9,1.230168,1
0,1,0,24,3.947685,1
0,0,1,6,0.6242874,1
0,0,1,24,1.259312,0
0,0,0,48,2.034431,1
0,0,1,27,2.314107,1
0,0,1,28,4.000348,1
0,0,0,15,1.373841,0
0,0,1,18,1.650962,1
0,0,1,18,1.229146,1
0,0,0,10,2.019092,0
0,0,0,15,0.7858556,1
0,0,1,12,0.9632739,0
0,0,0,24,1.921435,1
0,1,0,10,1.145805,0
0,0,1,21,1.265959,1
0,0,0,24,0.8911818,1
0,0,0,60,4.6819,1
0,0,1,6,0.9029415,1
0,0,0,15,0.7383055,1
0,0,1,11,1.095187,0
0,0,0,36,1.463317,0
0,0,0,9,0.711207,0
0,0,1,36,3.925699,1
0,0,0,24,2.224631,1
0,0,0,6,0.3492124,1
0,0,1,9,0.6258212,0
0,0,0,24,2.936349,1
0,0,1,9,0.6319568,1
0,0,1,10,1.097232,1
0,0,1,24,2.609123,1
0,0,0,36,5.039804,0
0,1,0,13,0.9187915,0
0,0,0,14,0.7209215,0
0,0,1,30,1.447467,1
0,0,0,12,0.5148709,0
0,0,1,18,0.3216026,1
0,0,1,12,0.3967625,1
0,0,1,24,1.038945,0
0,1,0,24,1.857012,1
0,0,1,42,2.06613,1
0,0,1,12,0.7224554,1
0,0,1,15,1.117684,1
0,0,1,12,0.8876027,1
0,1,0,39,7.249608,1
0,1,0,6,0.6150841,0
0,0,0,12,1.498085,1
0,0,0,18,0.7388168,1
0,0,1,12,1.059908,1
0,0,0,24,0.6140615,0
0,0,1,6,1.063487,0
0,1,0,36,8.107555,0
0,0,1,24,2.777849,1
1,0,0,8,0.632468,1
1,0,0,18,0.9837256,1
1,1,0,60,3.495191,0
1,0,0,15,0.4100561,1
1,1,0,9,0.7270571,0
1,0,0,24,2.102943,1
1,0,0,36,6.334395,0
1,1,0,40,3.066729,1
1,1,0,9,0.3343849,0
1,0,1,24,2.347341,0
1,1,0,24,0.7372829,0
1,0,0,36,1.944954,1
1,0,0,48,1.564553,1
1,1,0,48,3.455311,1
1,0,0,60,7.557916,0
1,0,1,18,3.456845,0
1,0,0,18,0.451982,0
1,0,0,24,1.580914,1
1,1,0,18,3.840313,1
1,1,0,12,1.098766,1
1,0,1,24,3.038608,1
1,1,0,24,0.6099712,0
1,0,0,36,2.152539,1
1,1,0,36,3.184837,1
1,1,0,12,0.3497237,1
1,0,0,27,1.288455,1
1,0,1,18,0.7838104,1
1,0,0,39,2.522203,1
1,0,0,18,0.5399242,0
1,0,0,48,7.37334,0
1,1,0,6,7.616204,0
1,0,0,9,0.8538574,1
1,1,0,30,1.230168,1
1,0,0,12,3.307036,1
1,0,0,15,0.646273,0
1,0,0,21,1.185686,1
1,1,0,18,0.6084374,1
1,1,0,12,0.3533027,0
1,1,0,18,0.6222422,1
1,1,0,12,4.02131,1
1,0,0,48,3.182281,1
1,1,0,24,1.596764,0
1,0,1,10,1.129955,1
1,1,0,9,0.6984248,1
1,1,0,36,3.521267,1
1,1,0,12,0.3788673,1
1,1,0,36,4.923229,1
1,0,0,18,0.6365584,1
1,1,0,18,1.329359,1
1,0,0,12,0.4801031,0
1,1,0,36,4.740187,0
1,0,1,27,1.31402,0
1,1,0,18,1.258801,1
1,1,0,12,0.6554762,1
1,0,0,36,1.137624,0
1,1,0,36,4.261618,1
1,0,0,48,5.092467,1
1,1,0,30,3.246703,1
1,0,0,9,0.3809125,1
1,1,0,24,0.6554762,1
1,1,0,36,0.9417996,0
1,0,0,15,0.649852,1
1,0,0,30,4.287694,1
1,0,1,18,0.9530481,1
1,1,0,12,0.4601627,0
1,0,0,36,6.448413,1
1,0,0,30,2.188329,0
1,1,0,30,1.589095,1
1,0,0,45,1.549726,1
1,1,0,36,4.123569,1
1,1,0,60,3.730897,0
1,0,0,24,5.791914,0
1,1,0,48,3.969159,0
1,1,0,18,1.085984,1
1,0,0,30,0.9811692,1
1,0,1,36,1.712317,1
1,0,0,12,0.6805295,1
1,0,0,18,1.164723,0
1,0,0,36,4.619011,1
1,0,1,48,5.177853,0
1,0,0,48,3.042698,1
1,1,0,24,1.531831,1
1,0,0,12,0.4862386,1
1,0,0,60,3.215003,1
1,0,0,27,2.001708,0
1,0,1,9,1.012358,1
1,0,0,24,0.9392432,1
1,0,0,36,4.805121,1
1,0,0,24,0.6871763,0
1,1,0,48,5.264772,1
1,0,0,18,1.073713,1
1,1,0,24,2.462893,0
1,0,1,48,5.925873,1
1,0,0,6,0.4760127,0
1,1,0,18,0.3834689,1
1,1,0,24,0.9908836,1
1,0,1,24,1.851388,1
1,0,0,30,2.172479,0
1,0,0,48,1.965406,0
1,0,0,36,1.441843,0
1,1,0,12,3.169498,1
1,0,0,15,0.909077,0
1,1,0,36,1.096721,0
1,1,0,21,1.745551,1
1,0,0,24,2.421478,1
1,0,1,36,5.610917,1
1,1,0,48,3.639887,1
1,1,0,12,0.3446108,1
1,1,0,12,0.5665115,1
1,1,0,24,0.613039,0
1,1,0,24,0.9320851,1
1,0,1,36,4.080109,0
1,0,0,24,5.910534,1
1,0,1,36,4.894086,0
1,1,0,12,0.3200687,1
1,1,0,21,0.9382206,1
1,0,1,18,0.9244157,1
1,0,0,30,1.759355,1
1,0,0,24,1.055306,1
1,1,0,42,3.668008,1
1,1,0,18,1.631021,1
1,0,1,24,1.297659,0
1,0,0,6,0.2213894,1
1,1,0,12,1.148362,1
1,0,0,10,0.6340019,0
1,1,0,24,0.6943344,0
1,1,0,14,4.590378,0
1,1,0,12,0.7014924,0
1,1,0,45,0.9433335,1
1,0,1,12,0.7086506,0
1,1,0,21,0.8420977,0
1,1,0,18,0.7372829,0
1,1,0,36,1.176994,1
1,0,0,18,2.197021,1
1,1,0,27,2.706268,0
1,0,0,12,0.3916496,1
1,1,0,24,1.816109,1
1,1,0,12,0.3563704,0
1,0,1,36,2.281896,1
1,1,0,24,0.7009812,0
1,1,0,15,2.024205,0
1,1,0,18,2.027784,0
1,1,0,24,1.710271,1
1,0,0,9,0.4903289,1
1,0,0,24,0.9893498,0
1,1,0,24,0.8482332,1
1,0,0,24,2.168389,0
1,0,0,18,1.46434,1
1,1,0,15,0.4857273,0
1,1,0,6,1.730212,1
1,1,0,20,1.142737,0
1,1,0,36,1.386624,1
1,0,0,12,0.42744,0
1,1,0,18,0.5782712,1
1,1,0,18,0.6217309,0
1,0,0,24,6.431541,1
1,1,0,18,0.7940363,1
1,1,0,12,0.3717092,1
1,1,0,42,2.027272,1
1,0,0,12,0.3113768,0
1,1,0,18,2.123395,1
1,1,0,24,0.7060941,0
1,0,0,48,9.420041,0
1,0,1,36,3.643977,1
1,1,0,28,2.048235,0
1,0,1,6,2.357567,1
1,1,0,24,0.6171293,0
1,0,0,9,0.7347264,0
1,0,1,18,0.7822766,0
1,0,0,24,0.4841934,0
1,0,0,6,7.441854,0
1,0,0,18,0.9857708,1
1,0,1,18,1.108992,0
1,1,0,12,0.6278664,0
1,0,1,18,3.301923,0
1,1,0,36,4.207421,1
1,0,1,12,0.5741808,1
1,0,0,30,2.676102,0
1,1,0,12,0.4611853,1
1,0,0,24,1.042524,1
1,1,0,24,0.4678321,0
1,1,0,24,1.712317,1
1,0,1,12,1.171881,0
1,1,0,6,0.6125277,1
1,0,0,12,0.4540272,0
1,0,0,6,0.6181519,0
1,0,0,15,1.345209,0
1,1,0,18,1.264425,1
1,0,0,12,0.982703,1
1,0,0,12,0.7587571,1
1,1,0,24,1.206138,1
1,1,0,24,1.247041,1
1,1,0,12,1.731234,1
1,0,1,9,0.7556894,1
1,0,0,24,0.6370697,0
1,0,0,15,0.7730733,1
1,1,0,24,0.7904572,1
1,0,0,24,6.103802,0
1,1,0,18,1.042524,1
1,1,0,12,1.78901,0
1,0,1,10,0.6692811,0
1,0,1,21,6.483181,0
1,1,0,18,0.9622513,1
1,0,1,36,4.016198,0
1,0,1,18,0.9934401,1
1,0,0,60,3.78765,0
1,0,0,45,2.426591,1
1,1,0,12,0.3880706,0
1,0,0,9,0.7674491,1
1,0,1,24,4.421652,0
1,0,0,9,0.5808276,1
1,1,0,48,3.578532,1
1,1,0,24,1.616194,0
1,1,0,24,0.6815521,0
1,1,0,24,1.177505,0
1,0,0,36,4.134306,0
1,0,1,18,1.418835,0
1,0,1,36,0.9300399,1
1,1,0,36,1.404008,1
1,0,0,12,0.3267155,1
1,1,0,12,1.318622,0
1,1,0,12,0.3625059,1
1,0,0,36,0.998553,0
1,0,0,36,2.277805,0
1,1,0,24,0.6570101,0
1,0,0,9,0.6835973,1
1,0,1,18,2.129531,0
1,1,0,12,0.4064771,1
1,1,0,48,2.354499,1
1,1,0,15,0.6518971,1
1,0,0,36,1.365661,1
1,0,0,54,8.152549,0
1,1,0,48,2.202646,0
1,0,1,21,1.319133,0
1,1,0,24,3.513598,1
1,0,0,12,0.62531,0
1,0,1,21,2.557993,0
1,0,0,12,0.7843218,1
1,1,0,12,2.476187,0
1,1,0,36,1.761912,1
1,0,1,48,2.476698,0
1,0,0,48,2.605544,1
1,1,0,48,3.929278,0
1,0,0,24,0.6928005,0
1,0,0,48,3.280449,0
1,0,0,72,2.860678,1
1,1,0,48,2.009888,0
1,1,0,45,6.041425,0
1,0,1,30,3.82702,1
1,0,0,30,1.099278,0
1,1,0,18,1.592163,1
1,1,0,12,0.6513859,0
1,0,1,15,2.363703,1
1,0,0,48,5.60427,1
1,1,0,48,3.236989,1
1,0,0,18,0.5327662,0
1,0,1,12,0.4074996,1
1,1,0,6,0.2290588,1
1,0,0,12,1.412188,1
1,0,0,21,0.6074147,0
1,0,0,9,0.4693659,1
1,0,1,12,0.3676189,1
1,1,0,12,0.5532178,0
1,0,0,36,7.320677,0
1,1,0,48,1.559952,1
1,1,0,33,2.188841,1
1,0,1,12,0.7950588,1
1,1,0,16,1.342141,0
1,0,0,21,1.414745,0
1,0,0,12,1.518026,1
1,0,0,9,2.622416,1
1,1,0,24,2.10141,1
1,0,1,24,1.225567,1
1,0,0,27,4.252926,0
1,0,0,18,6.634523,1
1,0,0,48,3.354075,0
1,1,0,36,2.647981,1
1,0,0,24,1.389691,0
1,0,0,36,1.21892,1
1,0,1,18,0.2213894,1
1,1,0,24,1.015937,1
1,1,0,24,1.653518,1
1,0,0,24,0.6217309,1
1,0,0,24,2.074311,1
1,1,0,18,0.6876876,1
1,1,0,42,2.234345,1
1,1,0,24,2.489991,0
1,0,0,12,0.662123,0
1,1,0,48,3.140866,1
1,0,0,12,0.3502349,0
1,1,0,36,1.010824,1
1,1,0,18,0.4990209,0
1,0,1,48,2.001196,0
1,1,0,30,6.13448,1
1,0,0,15,3.502349,0
1,0,0,48,8.012966,0
1,0,0,15,1.189776,1
1,1,0,24,0.5235629,1
1,0,0,30,0.9755449,0
1,0,0,60,7.171891,0
